id_video;nom_du_groupe;vues;likes;ratio_engagement;lien_video
9;n.flying;486643.0;29920.0;0.06148244195436901;https://youtu.be/UcxNeKzdDN4
10;txt;78652822.0;3639009.0;0.04626673153571019;https://youtu.be/cMFHUTJ13Ys
12;oh my girl;36676067.0;0.0;0.0;https://youtu.be/oaRTMjLdiDw
16;bvndit;1502110.0;126000.0;0.08388200597825725;https://youtu.be/-lqsGDqkl2c
18;nu'est;25514366.0;459305.0;0.018001819053626494;https://youtu.be/4Lm9u-iXrDc
19;day6;20812536.0;1076134.0;0.051706048700648495;https://youtu.be/k8gx-C7GCGU
25;astro;34442959.0;1263575.0;0.03668601759796538;https://youtu.be/Zz7YZtpz2Ek
32;gwsn;26805991.0;201275.0;0.007508582689593531;https://youtu.be/wMj3sLP_azg
33;oh my girl;96969229.0;1202327.0;0.012399057024574259;https://youtu.be/iDjQSdN_ig8
35;noir;1255878.0;113483.0;0.0903614841569006;https://youtu.be/30dfBPkKcRE
41;april;8857804.0;249871.0;0.028209136259957884;https://youtu.be/cO9DbwTF7rY
46;got7;96001946.0;2511611.0;0.026162084256083726;https://youtu.be/ladClnnJhqg
47;bvndit;340746.0;21622.0;0.06345489015278243;https://youtu.be/IRYBMJ2qSns
49;monsta x;17476125.0;729538.0;0.04174483759986839;https://youtu.be/AWV3pIesd0Y
50;cravity;15977952.0;640407.0;0.04008066866141543;https://youtu.be/NFlceOv8LMU
51;apink;45144477.0;752266.0;0.016663522317469755;https://youtu.be/WqzTRK5GPWQ
52;girlkind;268233.0;12990.0;0.04842804576618089;https://youtu.be/qXGRDLwR-EM
54;winner;26027160.0;494202.0;0.018987934142641764;https://youtu.be/NTJ8esMHW2E
59;(g)i-dle;226519335.0;3441186.0;0.015191577354754286;https://youtu.be/om3n2ni8luE
61;cignature;3203389.0;152711.0;0.04767170019001751;https://youtu.be/xDuaONIDgvc
64;cix;5853171.0;152403.0;0.02603768111336573;https://youtu.be/LkbwhXFrmsc
66;monsta x;1914744.0;120555.0;0.062961419385568;https://youtu.be/Xn5fAvdEEZA
68;winner;18953945.0;849634.0;0.044826235382660444;https://youtu.be/YURT0erwtJc
70;oneus;9740040.0;372615.0;0.03825600305542893;https://youtu.be/Fbj4Dh-QkpA
71;seventeen;53607119.0;961841.0;0.017942411715876766;https://youtu.be/u4iDL3c0T1c
78;ab6ix;5253982.0;115200.0;0.021926226622017358;https://youtu.be/aFRkwkLMGHI
80;dreamcatcher;6230273.0;222186.0;0.0356623216992257;https://youtu.be/BgLhbkKu1s4
81;favorite;785589.0;42827.0;0.05451578369860067;https://youtu.be/lE1X2U1sBFg
82;stray kids;2375507.0;148201.0;0.06238710304789672;https://youtu.be/YlOLn9Pd9R4
83;itzy;554100940.0;6694239.0;0.012081262666690297;https://youtu.be/fE2h3lGlOsk
84;victon;19229314.0;325835.0;0.016944702239507867;https://youtu.be/fPlcZsCOugA
85;bts;539477714.0;13314294.0;0.024679970375940313;https://youtu.be/0lapF4DQPKQ
88;dreamcatcher;3011805.0;110427.0;0.036664724309840774;https://youtu.be/wCALuFy2YVI
90;ftisland;471370.0;15193.0;0.03223158028724781;https://youtu.be/SYMZf2DgRdg
92;bts;337844846.0;12763539.0;0.03777929174032745;https://youtu.be/mPVDGOVjRQ0
94;sf9;1145613.0;32928.0;0.028742690594467765;https://youtu.be/LswOtwkLEAI
96;elris;2280020.0;69551.0;0.03050455697757037;https://youtu.be/iPAIlZM1VUU
101;bts;628868413.0;14661343.0;0.023313848647697942;https://youtu.be/gwMa6gpoE9I
102;elris;876936.0;22258.0;0.025381555780581478;https://youtu.be/9uhUmjANdQA
104;3ye;9595006.0;165879.0;0.017288055890741495;https://youtu.be/HWOtN5B8PnU
105;weki meki;6945405.0;251017.0;0.03614144891478611;https://youtu.be/RTeOt6n90vM
106;ab6ix;3250788.0;73546.0;0.022624052998842126;https://youtu.be/VRhO5svfMTI
107;dreamcatcher;51619931.0;1037847.0;0.020105547990755743;https://youtu.be/FKlGHHhTOsQ
108;highschool;47082.0;5082.0;0.1079393398751115;https://youtu.be/fC9LIVFPB6s
109;iz*one;116394058.0;1438439.0;0.012358354238323746;https://youtu.be/eDEFolvLn0A
110;ab6ix;4306344.0;133370.0;0.030970586650764548;https://youtu.be/8guHZbcOe0U
112;black6ix;35430.0;5116.0;0.14439740333051088;https://youtu.be/VJq4UMLtYaU
114;alphabat;43307.0;0.0;0.0;https://youtu.be/Nux-2AI-IK8
