nom_du_groupe;Short;Korean Name;Debut;Company;Members;Orig. Memb.;Fanclub Name;Active;id_group;genre
ariaz;;아리아즈;2019-10-23;Rising Star;6;6;;Yes;18;Girl Group
baby v.o.x;;베이비복스;1997-07-05;DR Music;5;5;;No;19;Girl Group
badkiz;;배드키즈;2014-03-24;Zoo;5;5;;Yes;20;Girl Group
berry good;;베리굿;2014-05-21;Asia Bridge;6;5;;Yes;21;Girl Group
bestie;;베스티;2013-07-11;YNB;4;4;BESTiny;No;22;Girl Group
blackpink;;블랙핑크;2016-08-08;YG;4;4;;Yes;23;Girl Group
blady;;블레이디;2011-05-16;Star Planet;5;4;Hi ade;No;24;Girl Group
bloomy;;블루미;2016-02-01;DS;4;4;;Yes;25;Girl Group
bob girls;;단발머리;2014-06-10;Chrome;4;4;;No;26;Girl Group
bolbbalgan4;BOL4;볼빨간사춘기;2016-04-22;Shofar;2;2;;Yes;27;Girl Group
bonus baby;;보너스베이비;2017-01-01;Maroo;6;6;;Hiatus;28;Girl Group
brave girls;;브레이브걸스;2011-03-31;Brave;5;5;;Yes;29;Girl Group
brown eyed girls;B.E.G.;브라운 아이드 걸스;2006-03-02;Mystic;4;4;Everlasting;Yes;30;Girl Group
bulldok;;불독;2016-10-20;Kconic;5;3;;No;31;Girl Group
busters;;버스터즈;2017-11-27;JTG;5;5;Bu-Chu;Yes;32;Girl Group
bvndit;;밴디트;2019-04-10;MNH;5;5;;Yes;33;Girl Group
c-real;;씨리얼;2011-10-11;NAP;3;5;;No;34;Girl Group
camila;;카밀라;2018-08-29;Camila;3;3;;No;35;Girl Group
cherry bullet;;체리블렛;2019-01-21;FNC;7;10;;Yes;36;Girl Group
cherry on top;;체리온탑;2018-08-09;United;4;4;;Yes;37;Girl Group
chocolat;;쇼콜라;2011-08-16;Paramount;5;5;Chocolatier;No;38;Girl Group
cignature;;시그니처;2020-02-04;C9;7;7;;Yes;39;Girl Group
clc;;씨엘씨;2015-03-18;Cube;7;5;Chesire;Yes;40;Girl Group
cocosori;;코코소리;2016-01-05;MOLE;2;2;;No;41;Girl Group
crayon pop;;크레용팝;2012-07-17;Chrome;4;5;;No;42;Girl Group
d-unit;;디유닛;2012-08-01;D-Business;2;3;Unique;No;43;Girl Group
d.holic;;디홀릭;2014-10-29;H.Mate;4;5;;No;44;Girl Group
