Date;Artist;Song Name;Korean Name;Director;lien_video;Type;Release;vues;likes;comments;id_video;ratio_engagement
2019-08-21;oh hayoung;Don't Make Me Laugh;;;https://youtu.be/5CcVngv5ALw;Girl Solo;Major;1853739,0;81246,0;6630,0;327;0,0438281764584982
2019-08-20;celeb five;I wish I could unsee that;안 본 눈 삽니다;;https://youtu.be/p21n7yQX4uE;Girl;Special;905450,0;40258,0;2516,0;328;0,04446186978850295
2019-08-19;everglow;Adios;;;https://youtu.be/4gX_p1VkgA4;Girl;Major;177241301,0;2689334,0;158338,0;329;0,015173291918005047
2019-08-19;the boyz;D.D.D;;;https://youtu.be/bTTczRe-Pj0;Boy;Major;15240012,0;252039,0;8268,0;330;0,01653797910395346
2019-08-19;viini;Genie;도깨비방망이;;https://youtu.be/VN3sefQ0ksE;Boy Solo;Major;nan;nan;nan;331;nan
2019-08-19;target;BABY COME BACK HOME;;;https://youtu.be/S9um1lm9NsQ;Boy;Major;716131,0;66202,0;3113,0;332;0,09244398022149579
2019-08-19;holics;I'm Ur Fan;;;https://youtu.be/rIX-NDapjvo;Girl;Major;14774,0;578,0;0,0;333;0,039122783267903076
2019-08-19;red velvet;Umpah Umpah;;;https://youtu.be/vHS9E6JFja8;Girl;Major;51491306,0;1688646,0;121204,0;334;0,032794778986572994
2019-08-16;ans;Wonderland;;;https://youtu.be/mtF1PlZ5yw0;Girl;Minor;43339,0;3467,0;257,0;335;0,0799972311313136
2019-08-13;weki meki;Tiki-Taka(99%);;ZANYBROS;https://youtu.be/bgrOljOXdCQ;Girl;Major;6592129,0;220347,0;7997,0;336;0,03342577185610294
2019-08-13;the rose;Red;;;https://youtu.be/6pF3HCuFHvY;Boy;Major;nan;nan;nan;337;nan
2019-08-13;m.o.n.t;Daehan minguk mansae;대한민국만세;;https://youtu.be/7HEUJISrsxo;Boy;Minor;451586,0;38750,0;2788,0;338;0,08580868317441197
2019-08-07;rocket punch;Bim Bam Bum;빔밤붐;ZANYBROS;https://youtu.be/0306kjwhO-8;Girl;Major;4593422,0;196539,0;13569,0;339;0,042787055053944534
2019-08-06;jbj95;Spark;불꽃처럼;;https://youtu.be/1FW0OKdDcd4;Boy;Major;1419724,0;59199,0;2173,0;340;0,041697541212235616
2019-08-06;fanatics;Sunday;;;https://youtu.be/NC_-T581Dbs;Girl;Major;1333237,0;54095,0;2515,0;341;0,04057418148461226
2019-08-06;venus;Turn Signal;깜빡이;;https://youtu.be/bPGZFYVjWNY;Girl;Major;61818,0;2069,0;198,0;342;0,03346921608592966
2019-08-06;in2it;Run Away;;;https://youtu.be/OwCFaFSGQ4o;Boy;Major;525703,0;48308,0;3533,0;343;0,09189219007690655
2019-08-05;pink fantasy;Fantasy;;;https://youtu.be/kfjpUTt9PJQ;Girl;Major;2043858,0;128920,0;15348,0;344;0,0630767890920015
2019-08-05;eyedi;Perfect 6th Sence;;;https://youtu.be/i7Q52jThBVg;Girl Solo;Japanese;104807,0;4395,0;0,0;345;0,04193422195082389
2019-08-05;seventeen;Hit;;Rigend Film;https://youtu.be/F9CrRG6j2SM;Boy;Major;91511074,0;1702836,0;118663,0;346;0,018607977434512462
2019-08-05;oh my girl;Bungee (Fall In Love);번지;;https://youtu.be/QTD_yleCK9Y;Girl;Major;26664393,0;171438,0;10166,0;347;0,0064294731929581145
2019-08-04;trcng;Missing;;;https://youtu.be/gXtHSkW6gpw;Boy;Major;730809,0;66037,0;5803,0;348;0,09036150348449458
2019-08-01;tiffany young;Magnetic Moon;;;https://youtu.be/oM_t7Y8gBwU;Girl Solo;Major;8268091,0;235587,0;11984,0;349;0,028493518032155187
2019-08-01;d1ce;Wake Up;깨워;;https://youtu.be/eo3A9QSVdrI;Boy;Major;448130,0;37289,0;2383,0;350;0,08321022917456988
2019-07-31;w24;Stay A Moment;거기 잠시라도;;https://youtu.be/OnHD4txhoDc;Boy;Major;109129,0;16651,0;1546,0;351;0,15258089050573176
2019-07-31;red velvet;Milkshake;밀크쉐이크;;https://youtu.be/PDy_i0UvAOI;Girl;Special;5197801,0;366134,0;10716,0;352;0,07044017268071633
